,MAX,MIN,MEAN,STD,SKEW,KURTOSIS,CREST,ROTULO
0,,,,,,,,B007
0,0.3640338461538461,-0.4078430769230769,0.031985119384615374,0.13380903056411875,-0.1841159673433955,-0.03034131979780641,2.9658373766856148,B007
0,0.4833618461538461,-0.4466455384615384,0.03494912676923076,0.15846322777777994,-0.04587645347908446,-0.13197448930343336,2.98014448196616,B007
0,0.5265452307692308,-0.5169489230769231,0.03220124492307691,0.15050504057034916,-0.1263803635934828,0.7248747385986878,3.422732245220148,B007
0,0.409512,-0.3949089230769231,0.03213115015384614,0.1462812015022054,-0.0725871337653105,-0.4055719820499899,2.735605269385853,B007
0,0.5161144615384615,-0.2976941538461538,0.03414115938461538,0.13911944305255172,0.08310045195607631,-0.4071779926775947,3.604657209708429,B007
0,0.4948356923076923,-0.4543643076923077,0.0321265606153846,0.16295232924391512,0.04344232657965714,0.3796577581608873,2.98077435238135,B007
0,0.4011673846153846,-0.4113895384615384,0.03318716123076923,0.13761063054327427,-0.1088176990707814,-0.2509831629598924,2.9075726280768195,B007
0,0.519660923076923,-0.3901107692307692,0.030685236923076915,0.16223021477093147,0.10869445378601907,-0.08554885123176037,3.1489450326813477,B007
0,0.3748818461538461,-0.3316984615384615,0.03290490461538461,0.13878908824328745,0.09018274566829199,-0.5162634113474667,2.6294790617315207,B007
0,0.5411483076923076,-0.4042966153846154,0.03431243261538461,0.16840006619473655,0.08917162619595675,0.052467894672569404,3.1502832608518503,B007
0,0.4940012307692307,-0.4985907692307692,0.03195236676923076,0.1634516734921699,-0.06409200445983866,0.29627270638769376,2.9951638713541877,B007
0,0.5002596923076923,-0.4879513846153846,0.03392774584615384,0.16853781683641939,0.002474408131044859,0.17222126685202488,2.9112589009690577,B007
0,0.4347544615384615,-0.3465101538461538,0.035047384615384605,0.13816474195979922,-0.046401417337559835,-0.4033675993425718,3.0514739106593507,B007
0,0.5578375384615384,-0.5129852307692307,0.031202811692307684,0.1584915285629274,-0.06748397308603452,-0.039338977723028634,3.4550423535197687,B007
0,0.6792516923076923,-0.4435163076923076,0.03593796369230769,0.1590994578222957,0.07379647882946083,0.5771193821978664,4.166415107855464,B007
0,0.4412215384615384,-0.3575667692307692,0.032878201846153844,0.14284005388008936,0.03031023605872211,-0.14872059657034287,3.011638588413971,B007
0,0.4001243076923076,-0.3012406153846154,0.0338269846153846,0.13358283062132895,0.012605979277452608,-0.46304456365123103,2.9050404997298966,B007
0,0.4403870769230769,-0.4174393846153846,0.03676867015384615,0.14031062130365154,-0.05021728057134416,0.12818141969242403,3.037562697541552,B007
0,0.508187076923077,-0.4620830769230769,0.03132151384615384,0.14422998079552804,-0.1876207855582789,0.4809566824566849,3.444839578819684,B007
0,0.4309993846153846,-0.3093766153846153,0.03399012184615384,0.1273090618919257,-0.0226118043265541,-0.050170931899772064,3.2724121055809454,B007
0,0.370500923076923,-0.2820479999999999,0.035436452307692295,0.13322643987100416,-0.09512217447423607,-0.6390217648529006,2.6887965951593813,B007
0,0.553248,-0.4685501538461538,0.032592190153846144,0.15533300969436836,0.10623165697023658,0.683211875693134,3.487455960126537,B007
0,0.6049846153846153,-0.4846135384615384,0.03343749969230768,0.15779314115486573,-0.006042360913712488,0.24073086281268674,3.75254399278621,B007
0,0.458328,-0.4034621538461538,0.03375480369230768,0.15617302426436983,0.014107542467517324,-0.32056578835566896,2.8698793442442803,B007
0,0.3494307692307692,-0.2659846153846154,0.03323472553846153,0.11840754600075608,0.16030726153116465,-0.5539629026730712,2.8426039690036906,B007
0,0.5182006153846154,-0.3988726153846154,0.032105490461538454,0.1552751550393626,0.13644021300898962,0.07796194010883006,3.26974449707514,B007
0,0.5121507692307692,-0.3859384615384615,0.03329230338461537,0.15475507263023994,0.001854081908334202,-0.20009735503421844,3.2369539033968713,B007
0,0.5843316923076923,-0.4504006153846153,0.029248085538461536,0.1617149657791066,0.12422988203214996,0.10789824758216016,3.55737941670774,B007
0,0.454572923076923,-0.3114627692307692,0.0329115803076923,0.14155746288432045,-0.08713142595629707,-0.43334076157446555,3.1292867896799783,B007
0,0.4067999999999999,-0.3640338461538461,0.02952596123076922,0.13965565358632104,-0.06620227258759166,-0.21825399296260173,2.851247606329919,B007
0,0.5184092307692307,-0.4635433846153846,0.03287382092307691,0.16955514576791034,-0.04148488494626232,-0.25764888532620667,3.0030193697041927,B007
0,0.4996338461538461,-0.4107636923076923,0.0341198806153846,0.14628423980212477,0.07000051946773254,0.030264434796549722,3.3277991885681897,B007
0,0.4184824615384615,-0.3415033846153846,0.031217831999999994,0.15114400583340407,0.0006912544296838608,-0.536997169305232,2.712834393275074,B007
0,0.4919150769230769,-0.4343372307692307,0.03289739446153846,0.1452177025510996,-0.11458736656177944,0.6885790270333589,3.3052919198980706,B007
